Product [name=Dell Inspiron Laptop, price=85000, category=Electronics, grade=A1]
Product [name=Wipro LED, price=80, category=Electronics, grade=A]
Product [name=Damro Workstation, price=30000, category=Furniture, grade=B]
Product [name=Anchor Junction Box, price=1000, category=Electronics, grade=A1]
Product [name=Laptop Heat Pad, price=500, category=Misc Accessories, grade=B]
Product [name=Beats Headset, price=5000, category=Electronics, grade=A1]
Product [name=Samsung Mobile, price=25000, category=Electronics, grade=A]
Product [name=Dell Inspiron Laptop, price=85000, category=Electronics, grade=A1]
Product [name=Wipro LED, price=80, category=Electronics, grade=A]
Product [name=Damro Workstation, price=30000, category=Furniture, grade=B]
Product [name=Anchor Junction Box, price=1000, category=Electronics, grade=A1]
Product [name=Laptop Heat Pad, price=500, category=Misc Accessories, grade=B]
Product [name=Beats Headset, price=5000, category=Electronics, grade=A1]
Product [name=Samsung Mobile, price=25000, category=Electronics, grade=A]
